Species	Plot	Collection Date	Sex	Weight (g)
DM	4	1978-01-08	F	37
DM	4	1978-01-08	M	NaN
DM	4	1978-01-08	F	48
DO	4	1978-01-08	M	52
OL	4	1978-01-08	M	35
DM	2	2013-07-16	F	NaN
DM	7	2013-07-16	M	33
DM	3	2013-07-16	M	NaN
DM	1	2013-07-16	M	NaN
DM	3	2013-07-18	M	40
DM	7	2013-07-18	M	48
DM	4	2013-07-18	F	29
DM	6	2013-07-18	F	37
DO	8	2013-08-19	F	52
DO	3	2013-10-17	F	33
DO	3	2013-10-17	F	50
DS	9	2013-11-12	F	117
DS	11	2013-11-13	F	126
DS	17	2013-11-13	M	-999
DS	14	2013-11-13	F	-999
DS	11	2013-11-13	F	122
DS	4	2013-11-13	F	107
DS	4	2013-11-13	F	115
DO	9	2013-12-10	F	40
DO	1	2013-12-10	M	45
DO	8	2013-12-11	F	41
NA	2	2014-01-08	None	NaN
DM	2	2014-01-08	M	44
PF	2	2014-01-08	F	7
DM	2	2014-01-08	M	45
OT	2	2014-01-08	None	NaN
DS	2	2014-01-08	M	-999
OX	2	2014-01-08	None	NaN
DM	1	2014-01-09	M	40
DM	1	2014-01-09	F	36
NA	2	2014-02-18	M	-999
PF	2	2014-02-18	F	7
DM	2	2014-02-18	M	52
DM	1	2014-03-13	F	51
DM	1	2014-03-13	F	44
DS	1	2014-03-13	F	146
NA	3	2014-04-08	F	NaN
NA	3	2014-05-06	None	NaN
NA	3	2014-05-18	F	182
OT	3	2014-06-09	F	29
NA	3	2014-07-08	F	115
NA	3	2014-07-08	M	190
PF	3	2014-11-03	M	8
				
